brand,sentiment_weight,reviews.rating,reviews.doRecommend,health_score
Season Seafood,0.9754675030708313,5.0,1.0,98.77
JNH Lifestyles,0.9745356440544128,5.0,1.0,98.73
Fangio Lighting,0.9732628464698792,5.0,1.0,98.66
Jake And The Neverland Pirates,0.970264196395874,5.0,1.0,98.51
La Tortilla Factory,0.970062255859375,5.0,1.0,98.5
Honey Bunches of Oats,0.9697848558425903,5.0,1.0,98.49
Noosa,0.9677664637565613,5.0,1.0,98.39
Carson-Dellosa Publishing,0.9604688882827759,5.0,1.0,98.02
Pacific Natural Foods,0.9537011384963989,5.0,1.0,97.69
Walkers,0.9523636102676392,5.0,1.0,97.62
Creative Converting,0.9511783123016357,5.0,1.0,97.56
Palladio,0.9469107985496521,5.0,1.0,97.35
Fiskars,0.9428847312927247,5.0,1.0,97.14
Citrus Magic,0.942226767539978,5.0,1.0,97.11
INC International Concepts,0.9411460161209106,5.0,1.0,97.06
SLOAN VALVE COMPANY,0.9402393698692322,5.0,1.0,97.01
Bebe Au Lait,0.9383425712585449,5.0,1.0,96.92
Bodycology,0.9361808896064758,5.0,1.0,96.81
Smart Start,0.9354140013456345,5.0,1.0,96.77
Sanrio,0.9326173663139343,5.0,1.0,96.63
Isoplus,0.9316758116086324,5.0,1.0,96.58
Hortense B. Hewitt,0.9269317388534546,5.0,1.0,96.35
Cantu,0.9264809489250183,5.0,1.0,96.32
Body Fantasies,0.9250509738922119,5.0,1.0,96.25
On-Stage,0.9226654469966888,5.0,1.0,96.13
Jack Link's,0.9221401214599609,5.0,1.0,96.11
Pinaud,0.9208916127681732,5.0,1.0,96.04
bareMinerals,0.9154727160930634,5.0,1.0,95.77
Rizzy Home,0.9142171144485474,5.0,1.0,95.71
4C Foods,0.9036337534586588,5.0,1.0,95.18
Hagerty,0.900146871805191,5.0,1.0,95.01
J. Hunt,0.8947587013244629,5.0,1.0,94.74
Adesso,0.8904558718204498,5.0,1.0,94.52
Happy Family,0.8894999557071261,5.0,1.0,94.47
Voortman,0.8894871026277542,5.0,1.0,94.47
American Greetings,0.8845743238925934,5.0,1.0,94.23
Simply Shabby Chic,0.913737878203392,4.75,1.0,94.19
Wilton,0.8838382363319397,5.0,1.0,94.19
